Administrative,Administrative_Duration,Informational,Informational_Duration,LogProductRelated,LogProductRelated_Duration,ProductRelatedPrc,ProductRelated_Duration_Prc,LogAv_ProductRelated_Duration,PageValues_ProductRelated,PageValues_ProductRelatedDuration,BounceRates,LogExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,1.0986122886681098,4.174387269895637,1.0,1.0,3.49650756146648,0.0,0.0,0.0,0.09531017980432487,0.0,0.0,Feb,Android,Chrome,Istanbul,Search,Returning,False,False
0,0.0,0,0.0,1.0986122886681098,1.29928298422117,1.0,1.0,0.8472978604586321,0.0,0.0,0.05,0.13102826240640408,0.0,0.0,Feb,Windows,Chrome,Izmir,Referral,Returning,False,False
0,0.0,0,0.0,2.3978952727983707,6.443336028030302,1.0,1.0,4.154969184038535,0.0,0.0,0.02,0.048790164169432,0.0,0.0,Feb,Windows,Opera,Istanbul,Referral,Returning,True,False
0,0.0,0,0.0,2.995732273553991,5.04482199051431,1.0,1.0,2.2101042403923175,0.0,0.0,0.015789474,0.024264622479083276,0.0,0.0,Feb,Android,Chrome,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,1.0986122886681098,3.6375861597263857,1.0,1.0,2.970414465569701,0.0,0.0,0.0,0.09531017980432487,0.0,0.8,Feb,Android,Chrome,Izmir,Social,Returning,False,False
0,0.0,0,0.0,1.3862943611198906,6.6052979209482015,1.0,1.0,5.509388336627977,0.0,0.0,0.0,0.021978906501383937,0.0,0.4,Feb,Android,Samsung Internet,Istanbul,Search,Returning,False,False
0,0.0,0,0.0,1.3862943611198906,5.981414211254481,1.0,1.0,4.887839716616328,0.0,0.0,0.0,0.06453852145007118,0.0,0.0,Feb,iOS,Safari,Ankara,Social,Returning,False,False
0,0.0,0,0.0,2.833213344056216,6.013103722211463,1.0,1.0,3.276554936454879,0.0,0.0,0.01875,0.025505290083422758,0.0,0.4,Feb,iOS,Safari,Bursa,Social,Returning,False,False
0,0.0,0,0.0,2.0794415416798357,5.640132447579745,1.0,1.0,3.7153127111820923,0.0,0.0,0.0,0.028170877383362988,0.0,0.0,Feb,iOS,Safari,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,1.9459101490553132,4.59511985013459,1.0,1.0,2.8526314299133175,0.0,0.0,0.0,0.06453852145007118,0.0,0.0,Feb,Android,Firefox,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,1.0986122886681098,4.23410650459726,1.0,1.0,3.5553480614894135,0.0,0.0,0.0,0.09531017980432487,0.0,0.0,Feb,Windows,Chrome,Ankara,Social,Returning,False,False
2,53.0,0,0.0,3.1780538303479458,7.420150741306542,0.92,0.969209052344105,4.297749728454816,0.0,0.0,0.008333333,0.016181014420903618,0.0,0.0,Feb,iOS,Safari,Konya,Social,Returning,False,False
0,0.0,0,0.0,2.6390573296152584,5.817011948791939,1.0,1.0,3.2871573323804015,0.0,0.0,0.0,0.007662873050912636,0.0,0.0,Feb,iOS,Safari,Istanbul,Referral,Returning,True,False
0,0.0,0,0.0,1.0986122886681098,3.4965075614664802,1.0,1.0,2.8332133440562157,0.0,0.0,0.0,0.09531017980432487,0.0,0.0,Feb,Android,Chrome,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,3.044522437723423,8.000405384775583,1.0,1.0,5.011024107498527,0.0,0.0,0.0,0.009950330853168083,0.0,0.0,Feb,Android,Samsung Internet,Bursa,Referral,Returning,False,False
0,0.0,0,0.0,2.1972245773362196,4.921196731692028,1.0,1.0,2.891528496255202,0.0,0.0,0.0,0.008298802484116581,0.0,1.0,Feb,Android,Chrome,Antalya,Direct,Returning,True,False
0,0.0,0,0.0,1.3862943611198906,4.663439094112067,1.0,1.0,3.58351893845611,0.0,0.0,0.0,0.03278982250041022,0.0,0.0,Feb,Windows,Chrome,Istanbul,Display Ads,Returning,False,False
0,0.0,0,0.0,1.0986122886681098,2.772588722239781,1.0,1.0,2.1400661634962703,0.0,0.0,0.0,0.09531017980432487,0.0,0.8,Feb,Android,Samsung Internet,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,1.791759469228055,5.056245805348308,1.0,1.0,3.471966452550362,0.0,0.0,0.0,0.039220713153281295,0.0,0.0,Feb,iOS,Safari,Konya,Social,Returning,False,False
4,64.6,0,0.0,3.4965075614664802,7.035659758683774,0.8888888888888888,0.9461686604000477,3.5968365001721305,0.0,0.0,0.002857143,0.009478744426241886,0.0,0.0,Feb,Android,Chrome,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,1.6094379124341003,4.343805421853684,1.0,1.0,2.9957322735539913,0.0,0.0,0.05,0.09531017980432487,0.0,0.0,Feb,iOS,Safari,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,1.6094379124341003,4.1588830833596715,1.0,1.0,2.8183982582710754,0.0,0.0,0.0,0.048790164169432,0.0,0.2,Feb,Android,Opera,Istanbul,Social,Returning,False,False
1,6.0,1,0.0,3.828641396489095,7.367550731635349,0.9574468085106383,0.9962234461054288,3.5882914823466523,1.2039947613333333,0.034231410052124454,0.043478261,0.049572007022067974,54.17976426,0.4,Feb,Windows,Chrome,Istanbul,Direct,Returning,False,False
0,0.0,0,0.0,1.0986122886681098,3.58351893845611,1.0,1.0,2.917770732084279,0.0,0.0,0.0,0.09531017980432487,0.0,0.0,Feb,iOS,Safari,Adana,Social,Returning,False,False
0,0.0,0,0.0,1.3862943611198906,4.3694478524670215,1.0,1.0,3.295836866004329,0.0,0.0,0.0,0.06453852145007118,0.0,0.0,Feb,iOS,Chrome,Adana,Email,Returning,True,False
0,0.0,0,0.0,2.1972245773362196,5.349485653122436,1.0,1.0,3.302757308848902,0.0,0.0,0.0,0.0246926125903715,0.0,0.0,Feb,Android,Chrome,Istanbul,Direct,Returning,False,False
0,0.0,0,0.0,2.3978952727983707,5.218552398259679,1.0,1.0,2.9635533753618724,0.0,0.0,0.04,0.07696104113612832,0.0,0.0,Feb,iOS,Safari,Ankara,Direct,Returning,False,False
0,0.0,0,0.0,2.70805020110221,5.9441108507245115,1.0,1.0,3.33856181067067,0.0,0.0,0.014285714,0.028170877383362988,0.0,0.0,Feb,Android,Chrome,Istanbul,Direct,Returning,False,False
0,0.0,0,0.0,3.970291913552122,7.643599266862002,1.0,1.0,3.716495957291632,0.0,0.0,0.015384615,0.020148218553033684,0.0,0.0,Feb,Android,Chrome,Gaziantep,Direct,Returning,False,False
0,0.0,0,0.0,2.1972245773362196,5.963579343618446,1.0,1.0,3.901972669574644,0.0,0.0,0.025,0.05472489968924655,0.0,0.0,Feb,Windows,Chrome,Istanbul,Referral,Returning,True,False
2,18.0,0,0.0,1.791759469228055,5.700443573390687,0.7142857142857143,0.9430379746835443,4.104294893075269,0.0,0.0,0.0,0.028170877383362988,0.0,0.8,Feb,Android,Chrome,Cankaya,Referral,Returning,False,False
0,0.0,0,0.0,2.0794415416798357,4.1588830833596715,1.0,1.0,2.302585092994046,0.0,0.0,0.028571429,0.06899287108695144,0.0,0.6,Feb,Android,Chrome,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,2.302585092994046,6.180016653652572,1.0,1.0,3.9992195504583004,0.0,0.0,0.0,0.021978906501383937,0.0,0.0,Feb,Android,Firefox,Istanbul,Email,Returning,False,False
1,9.0,0,0.0,3.8501476017100584,8.315173438140215,0.9787234042553191,0.9978013354849011,4.49748666966291,0.0,0.0,0.0,0.0017932631420934755,0.0,0.0,Feb,Android,Chrome,Cankaya,Referral,Returning,False,False
0,0.0,0,0.0,1.3862943611198906,3.1354942159291497,1.0,1.0,2.120263536200091,0.0,0.0,0.0,0.06453852145007118,0.0,0.6,Feb,iOS,Safari,Ankara,Search,Returning,False,False
0,0.0,0,0.0,2.772588722239781,5.740328674420791,1.0,1.0,3.0762876703953577,0.0,0.0,0.0,0.0066445430497944075,0.0,0.0,Feb,iOS,Safari,Bursa,Referral,Returning,False,False
0,0.0,0,0.0,1.0986122886681098,3.5553480614894135,1.0,1.0,2.8903717578961645,0.0,0.0,0.0,0.048790164169432,0.0,0.4,Feb,Windows,Chrome,Izmir,Social,Returning,False,False
0,0.0,0,0.0,1.6094379124341003,4.48863636973214,1.0,1.0,3.1354942159291497,0.0,0.0,0.0,0.048790164169432,0.0,0.0,Feb,OS X,Safari,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,3.1354942159291497,6.434947722403667,1.0,1.0,3.377044396174158,0.0,0.0,0.003030303,0.006042314395721659,0.0,0.2,Feb,Android,Firefox,Istanbul,Referral,Returning,False,False
0,0.0,0,0.0,2.70805020110221,5.4089638866351,1.0,1.0,2.8264679559166845,0.0,0.0,0.017142857,0.055569851019675626,0.0,0.0,Feb,iOS,Safari,Istanbul,Search,Returning,False,False
0,0.0,0,0.0,1.3862943611198906,4.394449154672439,1.0,1.0,3.3202283191284887,0.0,0.0,0.066666667,0.12516314265988837,0.0,0.2,Feb,Windows,Chrome,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,2.4849066497880004,6.686900772429827,1.0,1.0,4.301399791739057,0.0,0.0,0.0,0.0036297684128975484,0.0,0.0,Feb,Windows,Chrome,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,2.5649493574615367,5.584122679112192,1.0,1.0,3.139712360297137,0.0,0.0,0.011111111,0.025776036206700197,0.0,0.2,Feb,Windows,Chrome,Istanbul,Social,Returning,False,False
0,0.0,0,0.0,1.0986122886681098,3.4011973816621555,1.0,1.0,2.740840023925201,0.0,0.0,0.0,0.09531017980432487,0.0,1.0,Feb,Android,Samsung Internet,Bursa,Search,Returning,True,False
0,0.0,0,0.0,1.6094379124341003,5.081404364984463,1.0,1.0,3.713572066704308,0.0,0.0,0.0,0.07232066157962612,0.0,0.0,Feb,OS X,Chrome,Izmir,Social,Returning,False,False
0,0.0,0,0.0,1.6094379124341003,4.9175448712741465,1.0,1.0,3.5529642703728013,0.0,0.0,0.05,0.0246926125903715,0.0,0.4,Feb,Windows,Opera,Istanbul,Referral,Returning,False,False
4,56.0,2,120.0,3.6109179126442243,6.907496912308342,0.8571428571428571,0.8501798267746759,3.3583881386974417,0.5401966425000001,0.019471580868610623,0.0,0.014628940358214423,19.44707913,0.2,Feb,Android,Chrome,Bursa,Direct,Returning,False,False
0,0.0,0,0.0,1.6094379124341003,4.653960350157523,1.0,1.0,3.295836866004329,0.0,0.0,0.0,0.048790164169432,0.0,0.4,Feb,Android,Opera,Adana,Social,Returning,False,False
2,16.0,0,0.0,2.833213344056216,5.947216136780134,0.8888888888888888,0.9597673049445689,3.213075304077794,0.0,0.0,0.011764706,0.04551683839354951,0.0,0.6,Feb,Android,Samsung Internet,Izmir,Direct,Returning,False,False
0,0.0,0,0.0,1.9459101490553132,5.135798437050262,1.0,1.0,3.3730265046954595,0.0,0.0,0.0,0.016529302279079415,0.0,0.4,Feb,iOS,Safari,Ankara,Social,Returning,False,False
0,0.0,0,0.0,2.1972245773362196,5.995954452380834,1.0,1.0,3.933784497209659,0.0,0.0,0.05,0.11407245596245004,0.0,0.0,Feb,iOS,Safari,Istanbul,Social,Returning,False,False
12,279.4166667,0,0.0,3.7612001156935624,7.348962835652838,0.7777777777777778,0.8475631932647403,3.637325056092926,0.9121069685714286,0.02465815116980276,0.009,0.019475776827560926,38.30849268,0.0,Feb,iOS,Safari,Ankara,Search,Returning,False,False
0,0.0,0,0.0,2.70805020110221,6.561737629517393,1.0,1.0,3.9408880858243185,0.0,0.0,0.0,0.007117467627020008,0.0,0.0,Feb,Android,Chrome,Antalya,Referral,Returning,True,False
